eventID,parentEventID,eventDate,samplingProtocol,sampleSizeValue,sampleSizeUnit,footprintWKT,footprintSRS,countryCode,stateProvinde,municipality,location,fieldNumber,fieldNotes
CSIC-EEZ:SERPAM:AMOLADERAS_A24_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A24,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.248536 36.83452, -2.248531 36.83451, -2.248535 36.83451, -2.248539 36.83451, -2.248536 36.83452))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A24_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A24,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.248536 36.83452, -2.24854 36.83452, -2.248537 36.83452, -2.248532 36.83452, -2.248536 36.83452))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A24_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A24,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.248549 36.83452, -2.248546 36.83452, -2.248542 36.83452, -2.248545 36.83452, -2.248549 36.83452))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A24_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A24,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.248545 36.83451, -2.248541 36.83451, -2.248544 36.83451, -2.248548 36.83451, -2.248545 36.83451))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A22_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A22,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.248705 36.83463, -2.24871 36.83464, -2.248707 36.83464, -2.248702 36.83464, -2.248705 36.83463))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A22_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A22,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.24872 36.83464, -2.248718 36.83464, -2.248713 36.83464, -2.248716 36.83463, -2.24872 36.83464))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A22_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A22,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.248714 36.83463, -2.248709 36.83463, -2.248713 36.83462, -2.248717 36.83463, -2.248714 36.83463))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A22_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A22,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.248708 36.83463, -2.248705 36.83463, -2.2487 36.83463, -2.248703 36.83463, -2.248708 36.83463))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A28_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A28,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.246644 36.83584, -2.246646 36.83584, -2.246642 36.83585, -2.246639 36.83584, -2.246644 36.83584))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 6 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A28_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A28,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.246636 36.83585, -2.246641 36.83585, -2.246644 36.83585, -2.246639 36.83585, -2.246636 36.83585))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 6 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A28_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A28,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.246633 36.83584, -2.246635 36.83585, -2.24663 36.83585, -2.246628 36.83585, -2.246633 36.83584))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 6 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A28_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A28,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.246633 36.83584, -2.24663 36.83584, -2.246635 36.83584, -2.246637 36.83584, -2.246633 36.83584))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 6 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A29_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A29,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.246623 36.83575, -2.246624 36.83575, -2.246619 36.83576, -2.246618 36.83575, -2.246623 36.83575))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 6 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A29_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A29,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.246612 36.83576, -2.246618 36.83576, -2.246619 36.83576, -2.246614 36.83576, -2.246612 36.83576))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 6 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A29_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A29,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.24661 36.83575, -2.246611 36.83576, -2.246606 36.83576, -2.246605 36.83575, -2.24661 36.83575))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 6 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A29_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A29,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.246611 36.83575, -2.24661 36.83575, -2.246616 36.83575, -2.246617 36.83575, -2.246611 36.83575))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 6 | G-C+,livestock excluded
